;Balance of contribution;;;;;;Co-writting;;;;;
LD;MV ;RMSD;ML;L;M;H;MV ;RMSD;ML;L;M;H
1;0.49;0.32;M;0;7;8;0.41;0.42;M;0;4;11
2;0.87;0.19;H;0;6;9;0.11;0.15;L;13;1;1
3;0.84;0.24;H;1;2;12;0.76;0.28;H;1;0;14
4;0.99;0.21;H;0;1;14;0.41;0.22;M;3;9;3
5;0.49;0.36;M;15;0;0;0.44;0.35;M;12;1;2
6;0.99;0.19;H;0;1;14;0.50;0.2;M;7;7;1
7;0.51;0.3;M;13;2;0;0.07;0.09;L;14;1;0
8;0.99;0.3;H;0;7;8;0.74;0.21;H;0;6;9
9;0.48;0.27;M;13;2;0;0.17;0.12;L;13;2;0
10;0.92;0.39;H;1;11;3;0.09;0.1;L;13;2;0
11;0.29;0.19;L;15;0;0;0.04;0.04;L;15;0;0
12;0.14;0.07;L;15;0;0;0.09;0.09;L;14;1;0